Day_Of_Week,Click_Hour,Click_Minute,Current_Cumulative_Sum,Target_Final_Daily_Sum
0,0,0,58.82,295783.97
0,0,15,792.42,295783.97
0,0,30,1404.52,295783.97
0,0,45,2190.02,295783.97
0,1,0,2937.19,295783.97
0,1,15,3642.95,295783.97
0,1,30,4411.8,295783.97
0,1,45,5190.37,295783.97
0,2,0,5984.75,295783.97
0,2,15,6770.46,295783.97
0,2,30,7381.62,295783.97
0,2,45,8086.57,295783.97
0,3,0,8875.35,295783.97
0,3,15,9561.15,295783.97
0,3,30,10272.19,295783.97
0,3,45,11046.89,295783.97
0,4,0,11742.66,295783.97
0,4,15,12397.91,295783.97
0,4,30,13247.03,295783.97
0,4,45,13958.79,295783.97
0,5,0,14744.88,295783.97
0,5,15,15448.1,295783.97
0,5,30,16215.59,295783.97
0,5,45,16881.42,295783.97
0,6,0,17794.8,295783.97
0,6,15,21162.86,295783.97
0,6,30,24224.31,295783.97
0,6,45,27393.91,295783.97
0,7,0,30321.25,295783.97
0,7,15,33305.58,295783.97
0,7,30,36304.7,295783.97
0,7,45,39436.98,295783.97
0,8,0,42978.59,295783.97
0,8,15,49889.34,295783.97
0,8,30,57288.55,295783.97
0,8,45,64632.62,295783.97
0,9,0,71753.8,295783.97
0,9,15,79149.27,295783.97
0,9,30,86440.81,295783.97
0,9,45,94278.58,295783.97
0,10,0,101250.72,295783.97
0,10,15,104373.9,295783.97
0,10,30,107417.27,295783.97
0,10,45,110186.2,295783.97
0,11,0,113444.2,295783.97
0,11,15,116073.38,295783.97
0,11,30,118950.16,295783.97
0,11,45,122133.27,295783.97
0,12,0,124852.91,295783.97
0,12,15,127730.24,295783.97
0,12,30,130202.72,295783.97
0,12,45,133258.66,295783.97
0,13,0,136397.06,295783.97
0,13,15,139264.91,295783.97
0,13,30,142250.94,295783.97
0,13,45,145007.42,295783.97
0,14,0,147748.26,295783.97
0,14,15,150497.79,295783.97
0,14,30,153787.86,295783.97
0,14,45,157004.43,295783.97
0,15,0,159561.61,295783.97
0,15,15,162419.52,295783.97
0,15,30,165494.98,295783.97
0,15,45,168401.6,295783.97
0,16,0,171798.11,295783.97
0,16,15,175080.86,295783.97
0,16,30,177889.55,295783.97
0,16,45,181082.17,295783.97
0,17,0,184428.85,295783.97
0,17,15,192132.01,295783.97
0,17,30,199989.57,295783.97
0,17,45,207541.44,295783.97
0,18,0,215449.81,295783.97
0,18,15,222724.48,295783.97
0,18,30,229941.96,295783.97
0,18,45,237243.43,295783.97
0,19,0,244430.71,295783.97
0,19,15,247370.75,295783.97
0,19,30,250503.13,295783.97
0,19,45,253656.43,295783.97
0,20,0,256451.69,295783.97
0,20,15,259398.66,295783.97
0,20,30,262138.68,295783.97
0,20,45,265198.93,295783.97
0,21,0,268086.69,295783.97
0,21,15,271278.96,295783.97
0,21,30,274478.93,295783.97
0,21,45,277437.42,295783.97
0,22,0,280519.63,295783.97
0,22,15,283415.29,295783.97
0,22,30,286610.31,295783.97
0,22,45,289672.03,295783.97
0,23,0,292620.1,295783.97
0,23,15,293374.76,295783.97
0,23,30,294260.24,295783.97
0,23,45,295022.12,295783.97
1,0,0,61.27,298416.47
1,0,15,733.47,298416.47
1,0,30,1395.27,298416.47
1,0,45,2178.6,298416.47
1,1,0,3060.81,298416.47
1,1,15,3856.74,298416.47
1,1,30,4581.13,298416.47
1,1,45,5269.33,298416.47
1,2,0,5979.69,298416.47
1,2,15,6853.32,298416.47
1,2,30,7699.4,298416.47
1,2,45,8345.8,298416.47
1,3,0,9134.58,298416.47
1,3,15,9805.97,298416.47
1,3,30,10511.71,298416.47
1,3,45,11238.4,298416.47
1,4,0,11932.85,298416.47
1,4,15,12733.08,298416.47
1,4,30,13382.77,298416.47
1,4,45,14134.73,298416.47
1,5,0,14872.4,298416.47
1,5,15,15533.4,298416.47
1,5,30,16396.79,298416.47
1,5,45,17231.38,298416.47
1,6,0,18105.66,298416.47
1,6,15,21317.23,298416.47
1,6,30,24566.16,298416.47
1,6,45,27828.98,298416.47
1,7,0,31018.85,298416.47
1,7,15,33889.39,298416.47
1,7,30,37061.61,298416.47
1,7,45,39819.54,298416.47
1,8,0,43181.23,298416.47
1,8,15,50613.03,298416.47
1,8,30,57541.61,298416.47
1,8,45,64376.51,298416.47
1,9,0,71732.43,298416.47
1,9,15,79388.31,298416.47
1,9,30,87703.54,298416.47
1,9,45,95070.81,298416.47
1,10,0,102331.08,298416.47
1,10,15,105538.83,298416.47
1,10,30,108482.63,298416.47
1,10,45,111326.41,298416.47
1,11,0,114315.1,298416.47
1,11,15,117138.33,298416.47
1,11,30,120315.76,298416.47
1,11,45,123323.51,298416.47
1,12,0,126421.64,298416.47
1,12,15,129616.25,298416.47
1,12,30,132815.96,298416.47
1,12,45,135728.88,298416.47
1,13,0,138913.68,298416.47
1,13,15,142098.99,298416.47
1,13,30,145389.39,298416.47
1,13,45,148384.74,298416.47
1,14,0,151648.32,298416.47
1,14,15,154204.21,298416.47
1,14,30,157016.09,298416.47
1,14,45,159842.05,298416.47
1,15,0,162689.66,298416.47
1,15,15,165462.73,298416.47
1,15,30,168639.72,298416.47
1,15,45,171830.68,298416.47
1,16,0,174814.83,298416.47
1,16,15,177700.26,298416.47
1,16,30,180668.79,298416.47
1,16,45,183913.69,298416.47
1,17,0,187281.23,298416.47
1,17,15,194262.27,298416.47
1,17,30,201398.9,298416.47
1,17,45,209153.88,298416.47
1,18,0,216303.46,298416.47
1,18,15,224067.44,298416.47
1,18,30,232075.19,298416.47
1,18,45,240100.45,298416.47
1,19,0,247339.37,298416.47
1,19,15,250233.22,298416.47
1,19,30,253429.03,298416.47
1,19,45,256292.31,298416.47
1,20,0,259602.92,298416.47
1,20,15,262525.45,298416.47
1,20,30,265421.43,298416.47
1,20,45,268520.25,298416.47
1,21,0,271485.42,298416.47
1,21,15,274605.5,298416.47
1,21,30,277433.95,298416.47
1,21,45,280462.21,298416.47
1,22,0,283464.47,298416.47
1,22,15,286688.31,298416.47
1,22,30,289510.5,298416.47
1,22,45,292333.32,298416.47
1,23,0,295094.31,298416.47
1,23,15,295905.59,298416.47
1,23,30,296817.37,298416.47
1,23,45,297608.57,298416.47
2,0,0,52.18,298894.98
2,0,15,850.82,298894.98
2,0,30,1637.75,298894.98
2,0,45,2456.35,298894.98
2,1,0,3175.53,298894.98
2,1,15,3912.15,298894.98
2,1,30,4706.13,298894.98
2,1,45,5279.89,298894.98
2,2,0,6203.52,298894.98
2,2,15,6936.23,298894.98
2,2,30,7632.04,298894.98
2,2,45,8204.11,298894.98
2,3,0,8803.81,298894.98
2,3,15,9580.85,298894.98
2,3,30,10363.18,298894.98
2,3,45,11163.73,298894.98
2,4,0,11868.59,298894.98
2,4,15,12665.13,298894.98
2,4,30,13344.77,298894.98
2,4,45,14184.03,298894.98
2,5,0,15053.56,298894.98
2,5,15,15806.71,298894.98
2,5,30,16473.15,298894.98
2,5,45,17261.76,298894.98
2,6,0,17956.64,298894.98
2,6,15,21134.41,298894.98
2,6,30,24147.14,298894.98
2,6,45,26792.38,298894.98
2,7,0,29887.42,298894.98
2,7,15,32929.55,298894.98
2,7,30,35726.75,298894.98
2,7,45,38901.08,298894.98
2,8,0,41945.84,298894.98
2,8,15,49616.26,298894.98
2,8,30,57113.19,298894.98
2,8,45,65468.64,298894.98
2,9,0,73362.87,298894.98
2,9,15,81167.84,298894.98
2,9,30,88580.87,298894.98
2,9,45,96702.52,298894.98
2,10,0,103370.55,298894.98
2,10,15,106511.25,298894.98
2,10,30,109541.46,298894.98
2,10,45,112187.7,298894.98
2,11,0,115105.19,298894.98
2,11,15,118220.71,298894.98
2,11,30,121412.76,298894.98
2,11,45,124269.42,298894.98
2,12,0,127213.65,298894.98
2,12,15,129854.41,298894.98
2,12,30,132639.77,298894.98
2,12,45,135612.53,298894.98
2,13,0,138452.78,298894.98
2,13,15,141496.03,298894.98
2,13,30,144260.88,298894.98
2,13,45,147370.99,298894.98
2,14,0,150131.33,298894.98
